x,one,logn,n,nlogn,nsquare
391,0.000000082,0.000001843,0.000015248,0.000120000,0.003512309
392,0.000000078,0.000001753,0.000015741,0.000124000,0.003707337
393,0.000000087,0.000001847,0.000016497,0.000127000,0.003617608
394,0.000000084,0.000001840,0.000016119,0.000122000,0.003585366
395,0.000000084,0.000001942,0.000016546,0.000125000,0.003981712
396,0.000000084,0.000001828,0.000015829,0.000125000,0.003707991
397,0.000000095,0.000001884,0.000016161,0.000126000,0.003732214
398,0.000000081,0.000001829,0.000016397,0.000135000,0.003722867
399,0.000000092,0.000001616,0.000021836,0.000126000,0.003599499
400,0.000000081,0.000001766,0.000015943,0.000125000,0.003577902
401,0.000000083,0.000001774,0.000016334,0.000127000,0.003615156
402,0.000000083,0.000001854,0.000016361,0.000127000,0.003565761
403,0.000000082,0.000001821,0.000015756,0.000123000,0.003812091
404,0.000000083,0.000002047,0.000016402,0.000135000,0.003727841
405,0.000000080,0.000001841,0.000015662,0.000137000,0.003701762
406,0.000000086,0.000001829,0.000016892,0.000131000,0.003633479
407,0.000000086,0.000002031,0.000016410,0.000125000,0.003668751
408,0.000000082,0.000001776,0.000016445,0.000131000,0.004786710
409,0.000000083,0.000001860,0.000016012,0.000124000,0.003824372
410,0.000000081,0.000001984,0.000016899,0.000129000,0.003601872
411,0.000000105,0.000001672,0.000019987,0.000124000,0.004393253
412,0.000000084,0.000001779,0.000016116,0.000127000,0.003664306
413,0.000000083,0.000001628,0.000015940,0.000123000,0.003670665
414,0.000000083,0.000001705,0.000016134,0.000127000,0.003672800
415,0.000000077,0.000002014,0.000016292,0.000125000,0.003603728
416,0.000000092,0.000002243,0.000015812,0.000123000,0.003740109
417,0.000000087,0.000001728,0.000016743,0.000143000,0.003780535
418,0.000000087,0.000002433,0.000016453,0.000122000,0.003574239
419,0.000000081,0.000001819,0.000017265,0.000124000,0.003620835
420,0.000000080,0.000002110,0.000016092,0.000124000,0.003608822
421,0.000000080,0.000002212,0.000016250,0.000127000,0.003701710
422,0.000000084,0.000002070,0.000017881,0.000123000,0.003991919
423,0.000000081,0.000001878,0.000022222,0.000131000,0.003984580
424,0.000000084,0.000001927,0.000070319,0.000127000,0.003820526
425,0.000000082,0.000001632,0.000016478,0.000125000,0.003690147
426,0.000000082,0.000001862,0.000016063,0.000125000,0.003881287
427,0.000000083,0.000002048,0.000016588,0.000129000,0.003986461
428,0.000000083,0.000001763,0.000015916,0.000124000,0.004310039
429,0.000000088,0.000001895,0.000016299,0.000125000,0.003809944
430,0.000000087,0.000001847,0.000016981,0.000133000,0.003926431
431,0.000000083,0.000001675,0.000017041,0.000124000,0.003749849
432,0.000000096,0.000001844,0.000016815,0.000124000,0.003634486
433,0.000000086,0.000001773,0.000016375,0.000127000,0.003774673
434,0.000000092,0.000001974,0.000016859,0.000128000,0.004086238
