n,times
1443,0.09218732
1444,0.10001653
1445,0.10009693
1446,0.10267492
1447,0.09251406
1448,0.10990132
1449,0.11112350
1450,0.10286770
1451,0.11360430
1452,0.10634269
1453,0.09570153
1454,0.10239066
1455,0.10403124
1456,0.11244630
1457,0.09404281
1458,0.11374698
1459,0.09682977
1460,0.10329079
1461,0.10349881
1462,0.10263040
1463,0.11259005
1464,0.16798905
1465,0.10861445
1466,0.10752005
1467,0.10268699
1468,0.10960940
1469,0.10212172
1470,0.09829320
1471,0.09895493
1472,0.09335832
1473,0.09281668
1474,0.11230161
1475,0.11221617
1476,0.11393038
1477,0.09700960
1478,0.10368967
1479,0.13230672
1480,0.10412510
1481,0.09880974
1482,0.10740498
1483,0.11643277
1484,0.10937699
1485,0.09840612
1486,0.10514807
1487,0.09569433
1488,0.11382714
1489,0.11640548
1490,0.11619427
1491,0.12012648
1492,0.10262595
1493,0.09951855
1494,0.10717061
1495,0.10719855
1496,0.10777434
1497,0.10040588
1498,0.10529554
1499,0.11443333
1500,0.10653201
1501,0.10692256
1502,0.10729837
1503,0.11698011
1504,0.11953461
1505,0.10023307
1506,0.11995309
1507,0.11111330
1508,0.10073400
1509,0.10714130
1510,0.11825515
1511,0.11991172
1512,0.10233745
1513,0.09919367
1514,0.10914381
1515,0.11936034
1516,0.11086336
1517,0.10893557
1518,0.09920936
1519,0.12627830
1520,0.10003087
1521,0.11783933
1522,0.13008946
1523,0.12235618
1524,0.10870709
1525,0.11531671
1526,0.10632236
1527,0.10108744
1528,0.10996070
1529,0.11958983
1530,0.13134360
1531,0.11626398
1532,0.11538262
1533,0.10498138
1534,0.11467450
1535,0.10198195
1536,0.10149350
1537,0.12890884
1538,0.14041578
1539,0.12024580
1540,0.11041259
1541,0.15304155
1542,0.11205684
1543,0.12949776
1544,0.11064004
1545,0.13179284
1546,0.11149676
1547,0.11875924
1548,0.10758649
1549,0.12409114
1550,0.11601607
1551,0.10694691
1552,0.11435610
1553,0.10527208
1554,0.11018846
1555,0.15042129
1556,0.10960496
1557,0.11589345
1558,0.10779365
1559,0.10404541
1560,0.12270145
1561,0.12399104
1562,0.12486275
1563,0.11804699
1564,0.11867727
1565,0.12758798
1566,0.13802301
1567,0.12194006
1568,0.11061741
1569,0.11880690
1570,0.15293030
1571,0.11300297
1572,0.11122742
1573,0.12023788
1574,0.10822139
1575,0.11752237
1576,0.13600693
1577,0.11943614
1578,0.13282239
1579,0.11045490
1580,0.11987224
1581,0.10834032
1582,0.12586316
1583,0.13953495
1584,0.12147060
1585,0.12078045
1586,0.13020610
1587,0.12388061
1588,0.12172016
1589,0.12271803
1590,0.13199991
1591,0.13338132
1592,0.11445463
1593,0.12148082
1594,0.12452030
1595,0.13024069
1596,0.12270356
1597,0.13431142
1598,0.12498299
1599,0.12650102
1600,0.11206847
1601,0.11134838
1602,0.11094390
1603,0.14749663
1604,0.14160611
1605,0.12654231
1606,0.12710478
1607,0.13708517
1608,0.11556071
1609,0.12220256
1610,0.14336594
1611,0.12782288
1612,0.12596353
1613,0.12501545
1614,0.11590278
1615,0.13150155
1616,0.11412305
1617,0.11229521
1618,0.14145474
1619,0.13486038
1620,0.12647061
1621,0.12536910
1622,0.13132844
1623,0.11480481
1624,0.12231205
1625,0.13894098
1626,0.15092704
1627,0.13472199
1628,0.13678896
1629,0.12859923
1630,0.12880476
1631,0.12935569
1632,0.14668250
1633,0.14050888
1634,0.12254223
1635,0.12069554
1636,0.11706000
1637,0.12499008
1638,0.13425186
1639,0.13690201
1640,0.12653065
1641,0.15881035
1642,0.12441972
